Date and Time,Temperature,Relative Humidity
2020-09-11 14:24:08.390109+12:00,21.06999969482422,44.0
2020-09-11 14:24:12.988932+12:00,21.100000381469727,45.119998931884766
2020-09-11 14:24:17.990349+12:00,21.1200008392334,44.79999923706055
2020-09-11 14:24:23.970374+12:00,21.139999389648438,44.209999084472656
2020-09-11 14:24:28.952593+12:00,21.100000381469727,44.04999923706055
2020-09-11 14:24:33.918519+12:00,21.100000381469727,44.04999923706055
2020-09-11 14:24:38.915676+12:00,21.100000381469727,44.04999923706055
2020-09-11 14:24:43.922379+12:00,21.1200008392334,43.66999816894531
2020-09-11 14:24:48.923242+12:00,21.1200008392334,43.66999816894531
2020-09-11 14:24:53.906030+12:00,21.1200008392334,43.66999816894531
2020-09-11 14:24:58.877452+12:00,21.1200008392334,43.810001373291016
2020-09-11 14:25:03.848223+12:00,21.1200008392334,43.810001373291016
2020-09-11 14:25:09.859444+12:00,21.1200008392334,43.70000076293945
2020-09-11 14:25:15.275529+12:00,21.1200008392334,43.70000076293945
2020-09-11 14:25:20.270842+12:00,21.1200008392334,43.70000076293945
2020-09-11 14:25:25.243618+12:00,21.1200008392334,43.81999969482422
2020-09-11 14:25:30.247892+12:00,21.15999984741211,43.81999969482422
2020-09-11 14:25:35.241380+12:00,21.15999984741211,43.81999969482422
2020-09-11 14:25:40.230564+12:00,21.15999984741211,43.4900016784668
2020-09-11 14:25:45.201224+12:00,21.15999984741211,43.4900016784668
2020-09-11 14:25:50.166113+12:00,21.15999984741211,43.4900016784668
2020-09-11 14:25:55.178806+12:00,21.15999984741211,43.4900016784668
2020-09-11 14:26:00.166984+12:00,21.1299991607666,43.4900016784668
2020-09-11 14:26:05.154397+12:00,21.1299991607666,43.4900016784668
2020-09-11 14:26:10.146725+12:00,21.1299991607666,43.2400016784668
2020-09-11 14:26:15.147327+12:00,21.1299991607666,43.2400016784668
2020-09-11 14:26:20.134310+12:00,21.1299991607666,43.2400016784668
2020-09-11 14:26:25.123255+12:00,21.1299991607666,43.33000183105469
2020-09-11 14:26:30.071822+12:00,21.18000030517578,43.33000183105469
2020-09-11 14:26:35.077847+12:00,21.18000030517578,43.33000183105469
2020-09-11 14:26:40.062942+12:00,21.18000030517578,43.34000015258789
2020-09-11 14:26:45.061713+12:00,21.15999984741211,43.34000015258789
2020-09-11 14:26:50.040175+12:00,21.15999984741211,43.34000015258789
2020-09-11 14:26:55.000645+12:00,21.15999984741211,43.2599983215332
2020-09-11 14:27:00.021238+12:00,21.139999389648438,43.2599983215332
2020-09-11 14:27:05.014988+12:00,21.139999389648438,43.2599983215332
2020-09-11 14:27:10.010350+12:00,21.139999389648438,43.2400016784668
2020-09-11 14:27:14.988231+12:00,21.15999984741211,43.2400016784668
2020-09-11 14:27:19.961862+12:00,21.15999984741211,43.2400016784668
2020-09-11 14:27:24.955156+12:00,21.15999984741211,43.5
2020-09-11 14:27:29.955548+12:00,21.170000076293945,43.5
2020-09-11 14:27:34.947715+12:00,21.170000076293945,43.5
2020-09-11 14:27:39.934028+12:00,21.170000076293945,43.34000015258789
2020-09-11 14:27:44.901428+12:00,21.18000030517578,43.34000015258789
2020-09-11 14:27:49.884142+12:00,21.18000030517578,43.34000015258789
2020-09-11 14:27:54.901243+12:00,21.18000030517578,43.36000061035156
2020-09-11 14:27:59.857691+12:00,21.15999984741211,43.36000061035156
2020-09-11 14:28:04.872485+12:00,21.15999984741211,43.36000061035156
2020-09-11 14:28:09.871259+12:00,21.15999984741211,43.31999969482422
2020-09-11 14:28:14.852203+12:00,21.139999389648438,43.31999969482422
2020-09-11 14:28:19.838665+12:00,21.139999389648438,43.31999969482422
2020-09-11 14:28:24.815346+12:00,21.139999389648438,43.43000030517578
2020-09-11 14:28:29.824318+12:00,21.139999389648438,43.43000030517578
2020-09-11 14:28:34.807040+12:00,21.139999389648438,43.43000030517578
2020-09-11 14:28:39.796351+12:00,21.139999389648438,43.54999923706055
2020-09-11 14:28:44.757449+12:00,21.15999984741211,43.54999923706055
2020-09-11 14:28:49.708995+12:00,21.15999984741211,43.54999923706055
2020-09-11 14:28:54.790316+12:00,21.15999984741211,43.45000076293945
2020-09-11 14:28:59.727892+12:00,21.1200008392334,43.45000076293945
2020-09-11 14:29:04.719285+12:00,21.1200008392334,43.45000076293945
2020-09-11 14:29:09.690525+12:00,21.1200008392334,43.59000015258789
2020-09-11 14:29:14.672231+12:00,21.15999984741211,43.59000015258789
2020-09-11 14:29:19.679611+12:00,21.15999984741211,43.59000015258789
2020-09-11 14:29:24.669792+12:00,21.15999984741211,43.59000015258789
2020-09-11 14:29:29.621089+12:00,21.1299991607666,47.970001220703125
2020-09-11 14:29:34.642036+12:00,21.649999618530273,45.54999923706055
2020-09-11 14:29:39.634136+12:00,21.68000030517578,44.040000915527344
2020-09-11 14:29:44.604001+12:00,21.709999084472656,43.75
2020-09-11 14:29:49.618095+12:00,21.719999313354492,43.75
2020-09-11 14:29:54.584029+12:00,21.719999313354492,43.75
2020-09-11 14:29:59.587537+12:00,21.670000076293945,42.86000061035156
2020-09-11 14:30:04.576372+12:00,21.670000076293945,42.86000061035156
2020-09-11 14:30:09.571529+12:00,21.670000076293945,42.86000061035156
2020-09-11 14:30:14.550698+12:00,21.670000076293945,42.75
2020-09-11 14:30:19.511598+12:00,21.670000076293945,42.75
2020-09-11 14:30:24.531505+12:00,21.670000076293945,42.75
2020-09-11 14:30:29.516932+12:00,21.639999389648438,43.310001373291016
2020-09-11 14:30:34.506226+12:00,21.639999389648438,43.310001373291016
